Experiment,mAP,mAP@50,mAP@75,Mean Recall
Exp 1,0.028458697721362114,0.07126462459564209,0.01845727674663067,0.10816562920808792
Exp 2,0.3490869104862213,0.5443156957626343,0.3600989282131195,0.463358610868454
Exp 3,0.028458697721362114,0.07126462459564209,0.01845727674663067,0.10816562920808792
